,baby,love,way,got,know,never,heart,oh,boy,hands,right,make,lovin,get,say,like,could,put,tattooed,hard,cause,back,time,wanna,feel,na,one,ooh,less,gotta,problem,ya,want,without,yeah,harder,need,break,loves,la,every,bout,greedy,day,let,gonna,touch,give,even,somethin,thinkin,little,good,nobody,da,keep,go,stole,breathin,pickin,wake,speak,everything,happy,anybody,thank,next,forget,imagine,girlfriend,space,bad,smile,gon
baby,0,75,25,75,75,25,50,50,50,50,25,50,25,25,25,75,25,50,25,25,75,50,50,25,25,25,25,25,25,25,25,25,25,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
love,75,0,25,100,100,25,50,50,50,50,25,75,25,50,50,100,25,50,25,25,100,50,75,25,25,25,50,25,25,25,25,25,50,25,75,25,50,25,25,25,25,25,25,25,50,25,25,25,25,25,25,25,50,25,0,0,25,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25
way,25,25,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
got,75,100,25,0,100,25,50,50,50,50,25,75,25,50,50,100,25,50,25,25,100,50,75,25,25,25,50,25,25,25,25,25,50,25,75,25,50,25,25,25,25,25,25,25,50,25,25,25,25,25,25,25,50,25,0,0,25,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25
know,75,100,25,100,0,50,50,75,75,50,25,100,25,75,75,125,25,50,25,25,100,75,100,25,25,25,75,25,25,25,25,25,50,25,100,25,50,25,25,25,25,25,25,25,75,25,25,50,25,25,25,25,50,25,25,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
never,25,25,25,25,50,0,25,50,50,25,25,50,25,50,50,50,25,25,25,25,25,50,50,25,25,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0
heart,50,50,25,50,50,25,0,25,25,50,25,25,25,25,25,50,25,50,25,25,50,50,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oh,50,50,25,50,75,50,25,0,75,25,25,75,25,50,50,75,25,25,25,25,50,50,50,25,25,0,25,0,0,0,0,0,0,0,50,0,0,0,0,25,25,25,25,25,50,25,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0
boy,50,50,25,50,75,50,25,75,0,25,25,75,25,50,50,75,25,25,25,25,50,50,50,25,25,0,25,0,0,0,0,0,0,0,50,0,0,0,0,25,25,25,25,25,50,25,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0
hands,50,50,25,50,50,25,50,25,25,0,25,25,25,25,25,50,25,50,25,25,50,50,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
right,25,25,25,25,25,25,25,25,25,25,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
make,50,75,25,75,100,50,25,75,75,25,25,0,25,75,75,100,25,25,25,25,75,50,75,25,25,0,50,0,0,0,0,0,25,0,75,0,25,0,0,25,25,25,25,25,75,25,25,50,25,25,25,25,50,25,25,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
lovin,25,25,25,25,25,25,25,25,25,25,25,25,0,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
get,25,50,25,50,75,50,25,50,50,25,25,75,25,0,75,75,25,25,25,25,50,50,75,25,25,0,50,0,0,0,0,0,25,0,50,0,25,0,0,0,0,0,0,0,50,0,0,25,0,0,0,0,25,0,25,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
say,25,50,25,50,75,50,25,50,50,25,25,75,25,75,0,75,25,25,25,25,50,50,75,25,25,0,50,0,0,0,0,0,25,0,50,0,25,0,0,0,0,0,0,0,50,0,0,25,0,0,0,0,25,0,25,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
like,75,100,25,100,125,50,50,75,75,50,25,100,25,75,75,0,25,50,25,25,100,75,100,25,25,25,75,25,25,25,25,25,50,25,100,25,50,25,25,25,25,25,25,25,75,25,25,50,25,25,25,25,50,25,25,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
could,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
put,50,50,25,50,50,25,50,25,25,50,25,25,25,25,25,50,25,0,25,25,50,50,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tattooed,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hard,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cause,75,100,25,100,100,25,50,50,50,50,25,75,25,50,50,100,25,50,25,25,0,50,75,25,25,25,50,25,25,25,25,25,50,25,75,25,50,25,25,25,25,25,25,25,50,25,25,25,25,25,25,25,50,25,0,0,25,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25
back,50,50,25,50,75,50,50,50,50,50,25,50,25,50,50,75,25,50,25,25,50,0,75,25,25,25,50,25,25,25,25,25,25,25,50,25,25,25,25,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0
time,50,75,25,75,100,50,50,50,50,50,25,75,25,75,75,100,25,50,25,25,75,75,0,25,25,25,75,25,25,25,25,25,50,25,75,25,50,25,25,0,0,0,0,0,50,0,0,25,0,0,0,0,25,0,25,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
wanna,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feel,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
na,25,25,0,25,25,0,25,0,0,25,0,0,0,0,0,25,0,25,0,0,25,25,25,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
one,25,50,0,50,75,25,25,25,25,25,0,50,0,50,50,75,0,25,0,0,50,50,75,0,0,25,0,25,25,25,25,25,50,25,75,25,50,25,25,0,0,0,0,0,50,0,0,25,0,0,0,0,25,0,25,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
ooh,25,25,0,25,25,0,25,0,0,25,0,0,0,0,0,25,0,25,0,0,25,25,25,0,0,25,25,0,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
less,25,25,0,25,25,0,25,0,0,25,0,0,0,0,0,25,0,25,0,0,25,25,25,0,0,25,25,25,0,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gotta,25,25,0,25,25,0,25,0,0,25,0,0,0,0,0,25,0,25,0,0,25,25,25,0,0,25,25,25,25,0,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
problem,25,25,0,25,25,0,25,0,0,25,0,0,0,0,0,25,0,25,0,0,25,25,25,0,0,25,25,25,25,25,0,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ya,25,25,0,25,25,0,25,0,0,25,0,0,0,0,0,25,0,25,0,0,25,25,25,0,0,25,25,25,25,25,25,0,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
want,25,50,0,50,50,0,25,0,0,25,0,25,0,25,25,50,0,25,0,0,50,25,50,0,0,25,50,25,25,25,25,25,0,25,50,25,50,25,25,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25
without,25,25,0,25,25,0,25,0,0,25,0,0,0,0,0,25,0,25,0,0,25,25,25,0,0,25,25,25,25,25,25,25,25,0,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yeah,50,75,0,75,100,25,25,50,50,25,0,75,0,50,50,100,0,25,0,0,75,50,75,0,0,25,75,25,25,25,25,25,50,25,0,25,50,25,25,25,25,25,25,25,75,25,25,50,25,25,25,25,50,25,25,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
harder,25,25,0,25,25,0,25,0,0,25,0,0,0,0,0,25,0,25,0,0,25,25,25,0,0,25,25,25,25,25,25,25,25,25,25,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
need,25,50,0,50,50,0,25,0,0,25,0,25,0,25,25,50,0,25,0,0,50,25,50,0,0,25,50,25,25,25,25,25,50,25,50,25,0,25,25,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25
break,25,25,0,25,25,0,25,0,0,25,0,0,0,0,0,25,0,25,0,0,25,25,25,0,0,25,25,25,25,25,25,25,25,25,25,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loves,25,25,0,25,25,0,25,0,0,25,0,0,0,0,0,25,0,25,0,0,25,25,25,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la,25,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
every,25,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bout,25,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,0,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greedy,25,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,25,0,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
day,25,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,25,25,0,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
let,25,50,0,50,75,25,0,50,50,0,0,75,0,50,50,75,0,0,0,0,50,25,50,0,0,0,50,0,0,0,0,0,25,0,75,0,25,0,0,25,25,25,25,25,0,25,25,50,25,25,25,25,50,25,25,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
gonna,25,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,25,25,25,25,0,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
touch,25,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,25,25,25,25,25,0,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
give,25,25,0,25,50,25,0,50,50,0,0,50,0,25,25,50,0,0,0,0,25,25,25,0,0,0,25,0,0,0,0,0,0,0,50,0,0,0,0,25,25,25,25,25,50,25,25,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0
even,25,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,25,25,25,25,25,25,25,0,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
somethin,25,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,25,25,25,25,25,25,25,25,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thinkin,25,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
little,25,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
good,25,50,0,50,50,0,0,25,25,0,0,50,0,25,25,50,0,0,0,0,50,0,25,0,0,0,25,0,0,0,0,0,25,0,50,0,25,0,0,25,25,25,25,25,50,25,25,25,25,25,25,25,0,25,0,0,25,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25
nobody,25,25,0,25,25,0,0,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
da,0,0,0,0,25,25,0,25,25,0,0,25,0,25,25,25,0,0,0,0,0,25,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0
keep,0,0,0,0,25,25,0,25,25,0,0,25,0,25,25,25,0,0,0,0,0,25,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,0,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0
go,0,25,0,25,50,25,0,25,25,0,0,50,0,50,50,50,0,0,0,0,25,25,50,0,0,0,50,0,0,0,0,0,25,0,50,0,25,0,0,0,0,0,0,0,50,0,0,25,0,0,0,0,25,0,25,25,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
stole,0,0,0,0,25,25,0,25,25,0,0,25,0,25,25,25,0,0,0,0,0,25,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,25,25,0,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0
breathin,0,0,0,0,25,25,0,25,25,0,0,25,0,25,25,25,0,0,0,0,0,25,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,25,25,25,0,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0
pickin,0,0,0,0,25,25,0,25,25,0,0,25,0,25,25,25,0,0,0,0,0,25,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,25,25,25,25,0,25,25,25,25,25,0,0,0,0,0,0,0,0,0
wake,0,0,0,0,25,25,0,25,25,0,0,25,0,25,25,25,0,0,0,0,0,25,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,25,25,25,25,25,0,25,25,25,25,0,0,0,0,0,0,0,0,0
speak,0,0,0,0,25,25,0,25,25,0,0,25,0,25,25,25,0,0,0,0,0,25,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,25,25,25,25,25,25,0,25,25,25,0,0,0,0,0,0,0,0,0
everything,0,0,0,0,25,25,0,25,25,0,0,25,0,25,25,25,0,0,0,0,0,25,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,25,25,25,25,25,25,25,0,25,25,0,0,0,0,0,0,0,0,0
happy,0,0,0,0,25,25,0,25,25,0,0,25,0,25,25,25,0,0,0,0,0,25,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,0,25,0,0,0,0,0,0,0,0,0
anybody,0,0,0,0,25,25,0,25,25,0,0,25,0,25,25,25,0,0,0,0,0,25,25,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0
thank,0,25,0,25,25,0,0,0,0,0,0,25,0,25,25,25,0,0,0,0,25,0,25,0,0,0,25,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25
next,0,25,0,25,25,0,0,0,0,0,0,25,0,25,25,25,0,0,0,0,25,0,25,0,0,0,25,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,25,0,25,25,25,25,25,25,25
forget,0,25,0,25,25,0,0,0,0,0,0,25,0,25,25,25,0,0,0,0,25,0,25,0,0,0,25,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,25,25,0,25,25,25,25,25,25
imagine,0,25,0,25,25,0,0,0,0,0,0,25,0,25,25,25,0,0,0,0,25,0,25,0,0,0,25,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,25,25,25,0,25,25,25,25,25
girlfriend,0,25,0,25,25,0,0,0,0,0,0,25,0,25,25,25,0,0,0,0,25,0,25,0,0,0,25,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,25,25,25,25,0,25,25,25,25
space,0,25,0,25,25,0,0,0,0,0,0,25,0,25,25,25,0,0,0,0,25,0,25,0,0,0,25,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,25,25,25,25,25,0,25,25,25
bad,0,25,0,25,25,0,0,0,0,0,0,25,0,25,25,25,0,0,0,0,25,0,25,0,0,0,25,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,25,25,25,25,25,25,0,25,25
smile,0,25,0,25,25,0,0,0,0,0,0,25,0,25,25,25,0,0,0,0,25,0,25,0,0,0,25,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,0,25
gon,0,25,0,25,25,0,0,0,0,0,0,25,0,25,25,25,0,0,0,0,25,0,25,0,0,0,25,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,0
